Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
1965,Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,400.0,4750.0,3.0,1,1,19.0
1966,Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,860.0,4767.0,4.0,2,2,41.0
1967,Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,401.0,4785.0,1.0,1,1,19.2
1968,NG Tivoli ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,690.0,10869.0,10.0,1,1,75.0
1969,GNC Surabhi Complex ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,450.0,11777.0,3.0,1,1,53.0
1970,Manibhadra CHS ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,9444.0,2.0,2,2,85.0
1971,Space Ashley Gardens ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,965.0,11398.0,1.0,2,2,110.0
1972,Unnamed Property,IC Colony Mumbai,Ic Colony,0 to 1 Year,Ready To Move,Carpet Area,606.0,30858.0,1.0,2,2,187.0
1973,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995.0,26030.0,18.0,3,3,259.0
1974,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995.0,23618.0,3.0,3,3,235.0
1975,Paradise Sai Crystals ,810 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225.0,8979.0,7.0,2,2,110.0
1976,Paradise Sai Crystals ,170 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1710.0,10526.0,21.0,3,3,180.0
1977,Paradise Sai Miracle ,123 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225.0,11020.0,25.5,2,2,135.0
1978,Westin Eksar Gurukripa CHSL ,101 Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611.0,31914.0,12.0,2,2,195.0
1979,Unnamed Property,000 Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400.0,25500.0,1.0,1,1,102.0
1980,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Malad,0 to 1 Year,Ready To Move,Super Built Up Area,1750.0,24193.0,6.0,3,3,300.0
1981,Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,486.0,27983.0,1.0,1,2,136.0
1982,Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,642.0,26635.0,1.0,2,2,171.0
1983,Paradise Sai Wonder ,810 Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120.0,9821.0,9.0,2,2,110.0
1984,Unnamed Property,Khardi Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Plot Area,1943.875,1752.0,2.0,3,3,149.0
1985,Vighnahar Complex ,Kharghar Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1025.0,11707.0,3.0,2,2,120.0
1986,Rushabhdev Omkar Heights ,Kharghar Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,7826.0,14.0,2,2,90.0
1987,Juhi Niharika Residency ,Kharghar Sector 34B Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070.0,8878.0,5.0,2,2,95.0
1988,Haware Splendor ,100 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,650.0,10461.0,1.0,1,1,68.0
1989,Unnamed Property,Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,800.0,16250.0,6.0,2,2,130.0
1990,Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050.0,20952.0,4.0,2,2,220.0
1991,Unnamed Property,Vashi Sector 10 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,550.0,12363.0,1.0,1,1,68.0
1992,Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1650.0,22727.0,6.0,3,3,250.0
1993,Agarwal Lifestyle ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,955.0,5350.0,7.0,2,2,51.1
1994,Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4127.0,3.0,2,2,34.0
1995,Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,630.0,4857.0,2.0,1,2,30.6
1996,Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615.0,4351.0,5.0,1,1,26.8
1997,Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4130.0,2.0,2,2,34.1
1998,Unnamed Property,Global City Chikhal Dongari Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,830.0,4228.0,10.0,2,2,35.1
1999,Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1720.0,11627.0,6.0,3,3,200.0
2000,Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1251.0,11191.0,6.0,2,2,140.0
2001,Suman Dabas Jitendra Tower ,100 Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,640.0,8125.0,5.0,1,1,52.0
2002,Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,11739.0,18.0,2,2,135.0
2003,Unnamed Property,100 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,650.0,8461.0,1.0,1,1,55.0
2004,Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060.0,10377.0,10.0,2,2,110.0
2005,Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1489.0,10073.0,13.0,3,3,150.0
2006,Unnamed Property,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,800.0,16875.0,5.0,2,2,135.0
2007,Sai Chitra Apartment ,Near Turzon Point Sector 8 Charkop Mumbai,Point Charkop,1 to 5 Year,Ready To Move,Super Built Up Area,661.0,13010.0,6.0,1,2,86.0
2008,Bindiya CHS ,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,700.0,17142.0,3.0,2,2,120.0
2009,Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,725.0,16000.0,2.0,2,2,116.0
2010,Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,690.0,13623.0,1.0,2,2,94.0
2011,Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4448.0,0.0,2,2,36.7
2012,Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615.0,4146.0,0.0,1,1,25.5
2013,Raunak City 2 ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,590.0,5345.0,1.0,1,1,32.0
2014,Raunak City 4 ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,600.0,5500.0,4.0,1,1,33.0
2015,Raunak City 3 ,Adharwadi Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,645.0,5116.0,3.0,1,1,33.5
2016,Sai Siddhi Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,620.0,19354.0,3.0,2,2,120.0
2017,Unnamed Property,Turzon Point Sector 8 Charkop Mumbai,Point Charkop,10+ Year,Ready To Move,Carpet Area,645.0,18604.0,2.0,2,2,120.0
2018,Lodha Palava Trinity ,Lodha Lakeshore Green Khoni Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,1160.0,10775.0,9.0,3,3,125.0
2019,NMS Moreshwar Plaza ,Sector 29 Nerul Sector 29 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150.0,12608.0,4.0,2,2,145.0
2020,Unnamed Property,Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,710.0,17605.0,4.0,2,2,125.0
2021,Swaraj Planet ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1082.0,9704.0,4.0,2,2,105.0
2022,Raunak City 4 ,Adharwadi Near Don Bosco School Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,911.0,5599.0,17.0,2,2,55.0
2023,Progressive Pearl ,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,575.0,15652.0,5.0,2,2,90.0
2024,Unnamed Property,Vakola Mumbai South West Mumbai,Vakola Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1051.0,22359.0,9.0,2,2,235.0
2025,Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,845.0,23313.0,1.0,2,2,197.0
2026,Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1064.0,23496.0,5.0,2,2,250.0
2027,Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,827.0,13301.0,2.0,1,1,110.0
2028,Primus Residences ,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1108.0,24368.0,12.0,2,2,270.0
2029,Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,568.0,16197.0,5.0,1,1,92.0
2030,Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1132.0,19876.0,7.0,2,2,225.0
2031,Shivalik Tower ,Opposite Express Highway Kandivali East Mumbai,Highway Kandivali,10+ Year,Ready To Move,Carpet Area,1050.0,21428.0,12.0,2,2,225.0
2032,Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28533.0,9.0,2,2,214.0
2033,Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750.0,27333.0,9.0,2,2,205.0
2034,Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28666.0,9.0,2,2,215.0
2035,Unnamed Property,000 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1117.0,41181.0,23.0,3,3,399.5
2036,Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,720.0,39583.0,11.0,2,2,285.0
2037,Vinay Unique Imperia ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,3714.0,6.0,1,2,26.0
2038,Bindra Complex ,101 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,610.0,25409.0,1.0,2,2,155.0
2039,Bindra Complex ,102 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400.0,25000.0,10.0,1,2,100.0
2040,Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750.0,29333.0,4.0,2,2,220.0
2041,Unnamed Property,302 Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,450.0,24444.0,4.0,1,2,110.0
2042,Poonam Park View ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,655.0,5801.0,9.0,1,2,38.0
2043,Unnamed Property,Amboli Mumbai,Amboli Mumbai,10+ Year,Ready To Move,Carpet Area,1150.0,18347.0,12.0,3,3,211.0
2044,Unnamed Property,201 90 feet Road Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,475.0,15789.0,4.0,1,1,75.0
2045,Unnamed Property,401 Friends Colony Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,500.0,14000.0,4.0,1,1,70.0
2046,Shah Complex 2 ,Sector 13 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,550.0,20909.0,5.0,2,2,115.0
2047,City Icon ,Sector 19 Taloja Phase 2 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,5523.0,3.0,2,2,58.0
2048,Muktistar Mannat ,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1000.0,4300.0,1.0,2,2,43.0
2049,Unnamed Property,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,650.0,6461.0,5.0,1,1,42.0
2050,Unnamed Property,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,5461.0,6.0,1,1,35.5
2051,Arihant Amodini ,Sector 24 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1070.0,6074.0,15.0,2,2,65.0
2052,SM Olive Paradise ,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,655.0,5496.0,5.0,1,1,36.0
2053,City Icon ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,5333.0,3.0,2,2,56.0
2054,Evershine Millennium Paradise ,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Built Up Area,590.0,17796.0,3.0,1,2,105.0
2055,SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1830.0,18852.0,7.0,3,3,345.0
2056,BKS Galaxy ,Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,8608.0,5.0,2,2,99.0
2057,Dhruv Heights ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1625.0,10153.0,7.0,3,3,165.0
2058,Giriraj Horizon ,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,11000.0,7.0,3,3,165.0
2059,Unnamed Property,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1200.0,11250.0,3.0,2,2,135.0
2060,Kesar Harmony ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1715.0,15743.0,6.0,3,3,270.0
2061,Regency Gardens ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1943.875,14861.0,3.0,4,4,350.0
2062,White City ,006 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,16000.0,20.0,2,2,160.0
2063,White City ,Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,18333.0,16.0,2,2,220.0
2064,White City ,001 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,765.0,14117.0,21.0,1,1,108.0
2065,White City ,005 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,43437.375,21.0,2,2,399.5
2067,White City ,007 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,765.0,15032.0,25.0,1,2,115.0
2068,Gurukrupa Marina Enclave ,20th Malad West Mumbai,Th Malad,0 to 1 Year,Ready To Move,Carpet Area,840.0,22380.0,19.0,3,3,188.0
2069,Bhagwati Greens ,Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1275.0,27450.0,10.0,3,3,350.0
2070,Armstrongs Hex Blox ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1250.0,10000.0,10.0,2,2,125.0
2071,Paradise Sai Mannat ,Sector 34A Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1943.875,11000.0,9.0,3,3,220.0
2072,Aakash Srishthi ,Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,438.0,31000.0,6.0,1,2,135.0
2073,Unnamed Property,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,877.0,33637.0,25.5,3,2,295.0
2074,Luxora Crystal Spires ,0000 Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,1340.0,17910.0,3.0,3,3,240.0
2075,Luxora Crystal Spires ,0000 Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,1490.0,17449.0,3.0,3,3,260.0
2076,Dosti Imperia ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1750.0,14285.0,19.0,3,3,250.0
2077,Pratik Regalia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,725.0,7172.0,2.0,1,1,52.0
2078,Unnamed Property,001 Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,700.0,8142.0,4.0,1,1,57.0
2079,Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1800.0,13888.0,25.5,3,3,250.0
2080,Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,585.0,7350.0,2.0,1,1,43.0
2081,Unnamed Property,Patlipada Thane Mumbai,Patlipada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,16666.0,3.0,2,2,150.0
2082,Kalpataru Hills ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,12333.0,8.0,2,2,111.0
2083,T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1300.0,14230.0,11.0,3,2,185.0
2084,T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900.0,13421.0,3.0,3,3,255.0
2085,Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,12222.0,4.0,2,2,110.0
2086,Unnamed Property,Natwar Nagar Mumbai,Natwar Nagar,1 to 5 Year,Ready To Move,Carpet Area,225.0,28222.0,11.0,1,1,63.5
2087,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,980.0,7653.0,1.0,2,2,75.0
2088,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,680.0,6617.0,4.0,1,1,45.0
2089,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,630.0,8888.0,8.0,1,1,56.0
2090,Om Cygnus ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,9086.0,10.0,2,2,104.0
2091,Star Galaxy ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180.0,7278.0,8.0,2,2,85.9
2092,Siddhivinayak Utopia ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1156.0,9083.0,5.0,2,2,105.0
2093,Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Carpet Area,700.0,17142.0,16.0,2,3,120.0
2094,Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,13636.0,23.0,2,2,150.0
2095,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,38461.0,8.0,1,1,150.0
2096,Unnamed Property,Rajan Pada Mumbai,Rajan Pada,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,15714.0,6.0,2,2,165.0
2097,Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,21000.0,8.0,2,2,210.0
2098,Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,894.0,31208.0,9.0,3,3,279.0
2099,Shapoorji Pallonji Vicinia ,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1070.0,34112.0,16.0,3,3,365.0
2100,Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1570.0,17515.0,20.0,2,2,275.0
2101,Kalpataru Pinnacle ,Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550.0,43437.375,3.0,3,3,399.5
2102,Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Carpet Area,400.0,26250.0,2.0,1,2,105.0
2103,Unnamed Property,107 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,3107.0,1.0,1,1,21.8
2104,Unnamed Property,401 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,660.0,3106.0,4.0,1,1,20.5
2105,Unnamed Property,302 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,660.0,3062.0,3.0,1,1,20.2
2106,Unnamed Property,003 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,410.0,3536.0,0.0,1,1,14.5
2107,Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,800.0,28125.0,3.0,2,2,225.0
2108,Unnamed Property,Mahavir Nagar Mumbai,Mahavir Nagar,10+ Year,Ready To Move,Carpet Area,800.0,40625.0,7.0,3,3,325.0
2109,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379.0,38284.0,14.0,1,2,145.0
2110,Lodha Casa Ultima ,001 Chirak Nagar Thane Mumbai,Nagar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,840.0,11428.0,12.0,2,2,96.0
2111,Anchorage Apartment ,Bandra West Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,641.0,43437.375,6.0,2,2,341.0
2112,Unnamed Property,Bandra West Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,1248.0,43437.375,3.0,3,3,399.5
2113,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,1047.0,28175.0,14.0,3,3,295.0
2114,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,93.45,43437.375,19.0,3,3,322.0
2115,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,763.0,29488.0,25.5,2,2,225.0
2116,Unnamed Property,C121 Bhiwandi Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,1080.0,7785.0,21.0,2,2,55.2
2117,SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1037.0,31340.0,25.5,3,3,325.0
2118,Tata Amantra ,G0256 Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,1530.0,5773.0,21.0,3,3,88.3
2119,Tata Amantra ,F 2156 Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,1476.0,5849.0,22.0,3,2,86.3
