Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Gokuldham Complex ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,380.0,23684,0,1,1,90.0
K Raheja Heights ,Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,719.0,26425,3,2,2,190.0
Unnamed Property,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,380.0,23157,1,1,1,88.0
Rashmi Pride C ,304 Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,1050.0,10476,4,3,2,110.0
SD Alpine ,2702 Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1075.0,30322,27,2,2,235.0
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,775.0,30967,31,2,2,240.0
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1209.0,20264,32,2,2,245.0
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,1 to 5 Year,Ready To Move,Super Built Up Area,1300.0,26153,31,3,3,340.0
Raj Rudraksha ,502 Dahisar East Mumbai,Dahisar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,623.0,19101,5,2,2,119.0
Unnamed Property,Thane West Thane Mumbai,Thane Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1025.0,8487,6,2,2,87.0
Evershine Woods ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,1310.0,7633,6,3,2,100.0
Unnamed Property,303 Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1500.0,13933,3,3,3,209.0
Unnamed Property,Sector 15 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000.0,10500,2,2,2,105.0
Unnamed Property,202 Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100.0,14545,2,2,2,160.0
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,400.0,4800,3,1,1,19.2
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,405.0,4740,2,1,1,19.2
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,400.0,4750,3,1,1,19.0
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,860.0,4767,4,2,2,41.0
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,401.0,4785,1,1,1,19.2
NG Tivoli ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,690.0,10869,10,1,1,75.0
GNC Surabhi Complex ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,450.0,11777,3,1,1,53.0
Manibhadra CHS ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,9444,2,2,2,85.0
Space Ashley Gardens ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,965.0,11398,1,2,2,110.0
Unnamed Property,IC Colony Mumbai,Ic Colony,0 to 1 Year,Ready To Move,Carpet Area,606.0,30858,1,2,2,187.0
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995.0,26030,18,3,3,259.0
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995.0,23618,3,3,3,235.0
Paradise Sai Crystals ,810 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225.0,8979,7,2,2,110.0
Paradise Sai Crystals ,170 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1710.0,10526,21,3,3,180.0
Paradise Sai Miracle ,123 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225.0,11020,27,2,2,135.0
Westin Eksar Gurukripa CHSL ,101 Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611.0,31914,12,2,2,195.0
Unnamed Property,000 Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400.0,25500,1,1,1,102.0
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Malad,0 to 1 Year,Ready To Move,Super Built Up Area,1750.0,24193,6,3,3,300.0
Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,486.0,27983,1,1,2,136.0
Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,642.0,26635,1,2,2,171.0
Paradise Sai Wonder ,810 Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120.0,9821,9,2,2,110.0
Unnamed Property,Khardi Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Plot Area,8500.0,1752,2,3,3,149.0
Vighnahar Complex ,Kharghar Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1025.0,11707,3,2,2,120.0
Rushabhdev Omkar Heights ,Kharghar Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,7826,14,2,2,90.0
Juhi Niharika Residency ,Kharghar Sector 34B Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070.0,8878,5,2,2,95.0
Haware Splendor ,100 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,650.0,10461,1,1,1,68.0
Unnamed Property,Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,800.0,16250,6,2,2,130.0
Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050.0,20952,4,2,2,220.0
Unnamed Property,Vashi Sector 10 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,550.0,12363,1,1,1,68.0
Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1650.0,22727,6,3,3,250.0
Agarwal Lifestyle ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,955.0,5350,7,2,2,51.1
Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4127,3,2,2,34.0
Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,630.0,4857,2,1,2,30.6
Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615.0,4351,5,1,1,26.8
Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4130,2,2,2,34.1
Unnamed Property,Global City Chikhal Dongari Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,830.0,4228,10,2,2,35.1
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1720.0,11627,6,3,3,200.0
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1251.0,11191,6,2,2,140.0
Suman Dabas Jitendra Tower ,100 Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,640.0,8125,5,1,1,52.0
Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,11739,18,2,2,135.0
Unnamed Property,100 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,650.0,8461,1,1,1,55.0
Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060.0,10377,10,2,2,110.0
Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1489.0,10073,13,3,3,150.0
Unnamed Property,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,800.0,16875,5,2,2,135.0
Sai Chitra Apartment ,Near Turzon Point Sector 8 Charkop Mumbai,Point Charkop,1 to 5 Year,Ready To Move,Super Built Up Area,661.0,13010,6,1,2,86.0
Bindiya CHS ,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,700.0,17142,3,2,2,120.0
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,725.0,16000,2,2,2,116.0
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,690.0,13623,1,2,2,94.0
Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825.0,4448,0,2,2,36.7
Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615.0,4146,0,1,1,25.5
Raunak City 2 ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,590.0,5345,1,1,1,32.0
Raunak City 4 ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,600.0,5500,4,1,1,33.0
Raunak City 3 ,Adharwadi Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,645.0,5116,3,1,1,33.5
Sai Siddhi Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,620.0,19354,3,2,2,120.0
Unnamed Property,Turzon Point Sector 8 Charkop Mumbai,Point Charkop,10+ Year,Ready To Move,Carpet Area,645.0,18604,2,2,2,120.0
Lodha Palava Trinity ,Lodha Lakeshore Green Khoni Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,1160.0,10775,9,3,3,125.0
NMS Moreshwar Plaza ,Sector 29 Nerul Sector 29 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150.0,12608,4,2,2,145.0
Unnamed Property,Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,710.0,17605,4,2,2,125.0
Swaraj Planet ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1082.0,9704,4,2,2,105.0
Raunak City 4 ,Adharwadi Near Don Bosco School Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,911.0,5599,17,2,2,55.0
Progressive Pearl ,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,575.0,15652,5,2,2,90.0
Unnamed Property,Vakola Mumbai South West Mumbai,Vakola Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1051.0,22359,9,2,2,235.0
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,845.0,23313,1,2,2,197.0
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1064.0,23496,5,2,2,250.0
Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,827.0,13301,2,1,1,110.0
Primus Residences ,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1108.0,24368,12,2,2,270.0
Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,568.0,16197,5,1,1,92.0
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,Colony Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1132.0,19876,7,2,2,225.0
Shivalik Tower ,Opposite Express Highway Kandivali East Mumbai,Highway Kandivali,10+ Year,Ready To Move,Carpet Area,1050.0,21428,12,2,2,225.0
Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28533,9,2,2,214.0
Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750.0,27333,9,2,2,205.0
Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28666,9,2,2,215.0
Unnamed Property,000 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1117.0,41181,23,3,3,460.0
Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,720.0,39583,11,2,2,285.0
Vinay Unique Imperia ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,3714,6,1,2,26.0
Bindra Complex ,101 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,610.0,25409,1,2,2,155.0
Bindra Complex ,102 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400.0,25000,10,1,2,100.0
Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750.0,29333,4,2,2,220.0
Unnamed Property,302 Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,450.0,24444,4,1,2,110.0
Poonam Park View ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,655.0,5801,9,1,2,38.0
Unnamed Property,Amboli Mumbai,Amboli Mumbai,10+ Year,Ready To Move,Carpet Area,1150.0,18347,12,3,3,211.0
Unnamed Property,201 90 feet Road Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,475.0,15789,4,1,1,75.0
Unnamed Property,401 Friends Colony Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,500.0,14000,4,1,1,70.0
Shah Complex 2 ,Sector 13 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,550.0,20909,5,2,2,115.0
City Icon ,Sector 19 Taloja Phase 2 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,5523,3,2,2,58.0
Muktistar Mannat ,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1000.0,4300,1,2,2,43.0
Unnamed Property,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,650.0,6461,5,1,1,42.0
Unnamed Property,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,5461,6,1,1,35.5
Arihant Amodini ,Sector 24 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1070.0,6074,15,2,2,65.0
SM Olive Paradise ,Sector 20 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,655.0,5496,5,1,1,36.0
City Icon ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,5333,3,2,2,56.0
Evershine Millennium Paradise ,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Built Up Area,590.0,17796,3,1,2,105.0
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1830.0,18852,7,3,3,345.0
BKS Galaxy ,Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,8608,5,2,2,99.0
Dhruv Heights ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1625.0,10153,7,3,3,165.0
Giriraj Horizon ,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,11000,7,3,3,165.0
Unnamed Property,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1200.0,11250,3,2,2,135.0
Kesar Harmony ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1715.0,15743,6,3,3,270.0
Regency Gardens ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,2355.0,14861,3,4,4,350.0
White City ,006 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,16000,20,2,2,160.0
White City ,Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,18333,16,2,2,220.0
White City ,001 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,765.0,14117,21,1,1,108.0
White City ,005 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,1650000,21,2,2,16500.0
White City ,006 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,16000,20,2,2,160.0
White City ,007 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,765.0,15032,25,1,2,115.0
Gurukrupa Marina Enclave ,20th Malad West Mumbai,Th Malad,0 to 1 Year,Ready To Move,Carpet Area,840.0,22380,19,3,3,188.0
Bhagwati Greens ,Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1275.0,27450,10,3,3,350.0
Armstrongs Hex Blox ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1250.0,10000,10,2,2,125.0
Paradise Sai Mannat ,Sector 34A Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2000.0,11000,9,3,3,220.0
Aakash Srishthi ,Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,438.0,31000,6,1,2,135.0
Unnamed Property,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,877.0,33637,44,3,2,295.0
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,1340.0,17910,3,3,3,240.0
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,1490.0,17449,3,3,3,260.0
Dosti Imperia ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1750.0,14285,19,3,3,250.0
Pratik Regalia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,725.0,7172,2,1,1,52.0
Unnamed Property,001 Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,700.0,8142,4,1,1,57.0
Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1800.0,13888,26,3,3,250.0
Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,585.0,7350,2,1,1,43.0
Unnamed Property,Patlipada Thane Mumbai,Patlipada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,16666,3,2,2,150.0
Kalpataru Hills ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,12333,8,2,2,111.0
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1300.0,14230,11,3,2,185.0
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900.0,13421,3,3,3,255.0
Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,12222,4,2,2,110.0
Unnamed Property,Natwar Nagar Mumbai,Natwar Nagar,1 to 5 Year,Ready To Move,Carpet Area,225.0,28222,11,1,1,63.5
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,980.0,7653,1,2,2,75.0
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,680.0,6617,4,1,1,45.0
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,630.0,8888,8,1,1,56.0
Om Cygnus ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,9086,10,2,2,104.0
Star Galaxy ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180.0,7278,8,2,2,85.9
Siddhivinayak Utopia ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1156.0,9083,5,2,2,105.0
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Carpet Area,700.0,17142,16,2,3,120.0
Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,13636,23,2,2,150.0
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,38461,8,1,1,150.0
Unnamed Property,Rajan Pada Mumbai,Rajan Pada,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,15714,6,2,2,165.0
Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,21000,8,2,2,210.0
Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,894.0,31208,9,3,3,279.0
Shapoorji Pallonji Vicinia ,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1070.0,34112,16,3,3,365.0
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1570.0,17515,20,2,2,275.0
Kalpataru Pinnacle ,Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550.0,62903,3,3,3,975.0
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Carpet Area,400.0,26250,2,1,2,105.0
Unnamed Property,107 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,3107,1,1,1,21.8
Unnamed Property,401 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,660.0,3106,4,1,1,20.5
Unnamed Property,302 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,660.0,3062,3,1,1,20.2
Unnamed Property,003 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,410.0,3536,0,1,1,14.5
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,800.0,28125,3,2,2,225.0
Unnamed Property,Mahavir Nagar Mumbai,Mahavir Nagar,10+ Year,Ready To Move,Carpet Area,800.0,40625,7,3,3,325.0
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379.0,38284,14,1,2,145.0
Lodha Casa Ultima ,001 Chirak Nagar Thane Mumbai,Nagar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,840.0,11428,12,2,2,96.0
Anchorage Apartment ,Bandra West Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,641.0,53198,6,2,2,341.0
Unnamed Property,Bandra West Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,1248.0,54086,3,3,3,675.0
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,1047.0,28175,14,3,3,295.0
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,93.45,344569,19,3,3,322.0
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,763.0,29488,37,2,2,225.0
Unnamed Property,C121 Bhiwandi Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,1080.0,7785,21,2,2,55.2
